Datum,Saal,Saal,Schiene,Vorstellung Start,Hauptfilm Start,Pause,Pause-Ende,Dialicht,Ende,2D/3D,Filmtitel,FSK,Aufräumzeit,Nächste Vorstellung,2D/3D,Filmtitel
17.10.2017,Gotthard 8,8,HV,20:15,20:33,21:23,21:35,23:00,23:06,2D,KINGSMAN: THE GOLDEN CIRCLE,16,,,,
17.10.2017,Gotthard 2,2,HV,20:15,20:35,21:39,21:51,22:56,23:02,2D,ES,16,,,,
17.10.2017,Gotthard 7,7,HV,20:30,20:48,21:29,21:41,22:47,22:56,2D,BARRY SEAL: ONLY IN AMERICA,12,,,,
17.10.2017,Gotthard 4,4,HV,20:30,20:49,21:33,21:45,22:40,22:49,2D,BORG/MCENROE,6,,,,
17.10.2017,Gotthard 3,3,HV,20:45,21:06,21:47,21:59,23:02,23:10,2D,AMERICAN ASSASSIN,16,,,,

18.10.2017,Gotthard 6,6,N1,14:00,14:15,14:54,15:06,15:55,16:00,3D,"BIGFOOT JUNIOR ",6,01:05,17:15,2D,FLITZER
18.10.2017,Gotthard 2,2,N1,14:00,14:16,15:19,15:31,16:09,16:17,3D,"CARS 3 - EVOLUTION ",6,00:32,17:00,2D,ES
18.10.2017,Gotthard 8,8,N1,14:15,14:27,15:08,15:20,16:14,16:18,2D,FLITZER,12,00:31,17:00,2D,KINGSMAN: THE GOLDEN CIRCLE
18.10.2017,Gotthard 1,1,N1,14:15,14:30,15:05,15:17,16:05,16:13,3D,"EMOJI: DER FILM ",6,00:51,17:15,3D,"CARS 3 - EVOLUTION "
18.10.2017,Gotthard 3,3,N1,14:30,14:45,15:42,15:54,16:29,16:38,2D,MY LITTLE PONY - DER FILM,4,00:41,17:30,2D,AMERICAN ASSASSIN
18.10.2017,Gotthard 7,7,N1,14:30,14:48,15:31,15:43,16:32,16:42,3D,"THE LEGO NINJAGO MOVIE ",6,00:37,17:30,2D,KILLER'S BODYGUARD
